호선,역명,장비종류,호기,승강기번호,운행구간,설치위치,위도,경도
2,완정역,EL,2,2045-092,지하1층↔지하3층,"(B1) 고객안내센터 측 통로 끝,(B2) 에스컬레이터 3, 4호기 옆,(B3) 독정역 방향 승강장 출입문 중앙부 앞",,
2,완정역,EL,3,2045-093,지상층↔지하1층,"(1F) 4번 출입구 근처,(B1) 4번 출입구 계단 옆",37.59302550225843,126.67333970363602
2,독정역,EL,1,2154-532,지하1층↔지하3층,"(B1) 수유실 측 통로 끝,(B2) 완정역 방향 승강장 계단 옆,(B3) 완정역 방향 승강장 출입문 중앙부 앞",,
2,독정역,EL,2,2154-533,지하1층↔지하3층,"(B1) 고객안내센터 측 통로 끝,(B2) 검암역 방향 승강장 계단 옆,(B3) 검암역 방향 승강장 출입문 중앙부 앞",,
2,독정역,EL,3,2170-865,지상층↔지하1층,"(1F) 2번 출입구 근처,(B1) 2번 출입구 옆",37.58509087020588,126.67609160538258
2,독정역,EL,4,2170-864,지상층↔지하1층,"(1F) 3번 출입구 근처,(B1) 3번 출입구 옆",37.58503784370166,126.67564745577849
2,검암역,EL,1,2170-606,지상1층↔지상2층,"(2F) 표 내는 곳 근처,(1F) 2번 출입구 근처",126.67564745577849,126.6756258273705
2,검암역,EL,2,2170-604,지상2층↔지상4층,"(4F) 독정역 방향 승강장 중앙부 앞,(2F) 고객안내센터 옆",,
2,검암역,EL,3,2170-605,지상1층↔지상2층↔지상4층,"(4F) 검바위역 방향 승강장 중앙부 앞,(2F) 표 내는 곳 근처,(1F) 환승통로 안쪽",,
2,검바위역,EL,1,2170-607,지상1층↔지상2층,"(2F) 화장실 근처,(1F) 4번 출입구 근처",,
2,검바위역,EL,2,2170-608,지상2층↔지상3층,"(1F) 검암역 방향 승강장 중앙부 앞,(2F) 에스컬레이터 3, 4호기 옆",,
2,검바위역,EL,3,2170-609,지상2층↔지상3층,"(1F) 아시아드경기장역 방향 승강장 중앙부 앞,(2F) 에스컬레이터 5, 6호기 옆",,
2,아시아드경기장역,EL,1,2170-557,지하1층↔지하2층,"(B1) 표 내는 곳 옆,(B3) 검바위역 방향 승강장 중앙부 앞",,
2,아시아드경기장역,EL,2,2170-558,지하1층↔지하2층,"(B1) 고객안내센터 옆,(B3) 서구청역 방향 승강장 중앙부 앞",,
2,아시아드경기장역,EL,3,2170-559,지상층↔지하1층,"(1F) 2번 출입구 근처,(B1) 2번 출입구 계단 옆",,
2,아시아드경기장역,EL,4,2170-560,지상층↔지하1층,"(1F) 3번 출입구 근처,(B1) 3번 출입구 계단 옆",,
2,서구청역,EL,1,2170-561,지하1층↔지하3층,"(B1) 고객안내센터 측 통로 끝,(B2) 에스컬레이터 1, 2호기 옆,(B3) 아시아드경기장역 방향 승강장 중앙부 앞",,
2,서구청역,EL,2,2170-562,지하1층↔지하3층,"(B1) 임대상가 측 통로 끝,(B2) 에스컬레이터 3, 4호기 옆,(B3) 가정역 방향 승강장 중앙부 앞",,
2,서구청역,EL,3,2170-563,지상층↔지하1층,"(1F) 2번 출입구 근처,(B1) 2번 출입구 계단 옆",,
2,서구청역,EL,4,2170-564,지상층↔지하1층,"(1F) 3번 출입구 근처,(B1) 3번 출입구 계단 옆",,
2,가정(루원시티)역,EL,1,2159-558,지하1층↔지하3층,"(B3) 서구청역 방향 승강장 1-1 출입문 앞,(B1) 4번 출입구 대합실",,
2,가정(루원시티)역,EL,2,2159-557,지하1층↔지하3층,"(B3) 서구청역 방향 승강장 2-3 출입문 앞,(B1) 3번 출입구 대합실",,
2,가정(루원시티)역,EL,3,2159-560,지하1층↔지하3층,"(B3) 가정중앙시장역 방향 승강장 1-1 출입문 앞,(B1) 4번 출입구 대합실",,
2,가정(루원시티)역,EL,4,2159-559,지하1층↔지하3층,"(B3) 가정중앙시장역 방향 승강장 2-3 출입문 앞,(B1) 4번 출입구 대합실",,
2,가정(루원시티)역,EL,5,2154-506,지상층↔지하1층,"(B1) 4번 출입구 대합실,(1F) 4번 출입구 인근",,
2,가정(루원시티)역,EL,6,2154-505,지상층↔지하1층,"(B1) 3번 출입구 대합실,(1F) 3번 출입구 인근",,
2,가정중앙시장역,EL,1,2154-516,지하1층↔지하2층,"(B2) 가정역 방향 승강장 1-3 출입문 앞,(B1) 대합실 상선 방향",,
2,가정중앙시장역,EL,2,2154-517,지하1층↔지하2층,"(B2) 석남역 방향 승강장 1-3 출입문 앞,(B1) 대합실 하선 방향",,
2,가정중앙시장역,EL,3,2154-520,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근",,
2,가정중앙시장역,EL,4,2154-518,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근",,
2,가정중앙시장역,EL,5,2154-519,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근",,
2,석남(거북시장)역,EL,1,2170-774,지하1층↔지하2층,"(B2) 가정중앙시장역 방향 승강장 1-3 출입문 앞,(B1) 대합실 상선 방향",,
2,석남(거북시장)역,EL,2,2170-775,지하1층↔지하2층,"(B2) 서부여성회관역 방향 승강장 1-3 출입문 앞,(B1) 대합실 하선 방향",,
2,석남(거북시장)역,EL,3,2170-776,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근",,
2,석남(거북시장)역,EL,4,2170-777,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근",,
2,석남(거북시장)역,EL,5,2170-779,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근",,
2,석남(거북시장)역,EL,6,2170-778,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근",,
2,서부여성회관역,EL,1,2170-780,지하1층↔지하2층,"(B2) 석남역 방향 승강장 1-3 출입문 앞,(B1) 대합실 상선 방향",,
2,서부여성회관역,EL,2,2170-281,지하1층↔지하2층,"(B2) 인천가좌역 방향 승강장 1-3 출입문 앞,(B1) 대합실 하선 방향",,
2,서부여성회관역,EL,3,2170-782,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근",,
2,서부여성회관역,EL,4,2170-783,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근",,
2,서부여성회관역,EL,5,2170-785,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근",,
2,서부여성회관역,EL,6,2170-784,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근",,
2,인천가좌역,EL,1,2170-851,지하1층↔지하3층,"(B3) 서부여성회관역 방향 승강장 1-3 출입문 앞,(B1) 대합실 상선 방향",,
2,인천가좌역,EL,2,2170-852,지하1층↔지하3층,"(B3) 가재울역 방향 승강장 1-3 출입문 앞,(B1) 대합실 하선 방향",,
2,인천가좌역,EL,3,2170-847,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근",,
2,인천가좌역,EL,4,2170-848,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 인근",,
2,인천가좌역,EL,5,2170-849,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근",,
2,인천가좌역,EL,6,2170-850,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 인근",,
2,가재울역,EL,1,2161-408,지하1층↔지하3층,"(B3) 인천가좌역 방향 승강장 1-3 출입문 앞,(B1) 대합실 상선 방향",,
2,가재울역,EL,2,2161-409,지하1층↔지하3층,"(B3) 주안국가산단역 방향 승강장 1-3 출입문 앞,(B1) 대합실 하선 방향",,
2,가재울역,EL,3,2161-410,지상층↔지하1층,"(B1) 대합실 1,2번 출입구 방향,(1F) 1번/2번 출입구 사이 엘리베이터",,
2,주안국가산단역,EL,1,2170-600,지하1층↔지하3층,"(B3) 가재울역 방향 승강장 1-3 출입문 앞,(B1) 대합실 상선 방향",,
2,주안국가산단역,EL,2,2170-601,지하1층↔지하3층,"(B3) 주안역 방향 승강장 1-3 출입문 앞,(B1) 대합실 하선 방향",,
2,주안국가산단역,EL,3,2170-603,지상층↔지하1층,"(B1) 대합실 1번 출입구 방향,(1F) 1번 출입구 근처",,
2,주안국가산단역,EL,4,2170-602,지상층↔지하1층,"(B1) 대합실 2번 출입구 방향,(1F) 2번 출입구 근처",,
2,주안역,EL,1,2170-611,지하1층↔지하2층 ,"(B3) 주안국가산단역 방향 승강장 1-3 출입문 앞,(B2) 대합실 상선 방향",,
2,주안역,EL,2,2170-610,지하1층↔지하3층 ,"(B3) 시민공원역 방향 승강장 1-3 출입문 앞,(B1) 대합실 코레일 방향",,
2,주안역,EL,3,2170-792,지상층↔지하1층,"(B1) 대합실 6번 출입구 방향,(1F) 6번 출입구 근처",,
2,주안역,EL,4,2170-791,지상층↔지하1층,"(B1) 대합실 5번 출입구 방향,(1F) 5번 출입구 근처",,
2,주안역,EL,5,2170-613,환승층↔지하1층,"(B1) 대합실 코레일 상선 방향,(1F) 코레일 승강장 상선",,
2,주안역,EL,6,2170-612,환승층↔지하1층,"(B1) 대합실 코레일 하선 방향,(1F) 코레일 승강장 하선",,
2,시민공원역,EL,1,2154-529,지하1층↔지하3층,"(B3) 주안역 방향 승강장 1-1 출입문 앞,(B1) 에스컬레이터 1,2호기 앞",,
2,시민공원역,EL,2,2154-530,지하1층↔지하3층,"(B3) 석바위시장역 방향 승강장 2-3 출입문 앞,(B1) 에스컬레이터 3,4호기 앞",,
2,시민공원역,EL,3,2154-527,지상층↔지하1층,"(B1) 고객안내센터 옆,(1F) 1번 출입구 근처",,
2,시민공원역,EL,4,2154-528,지상층↔지하1층,"(B1) 고객안내센터 옆,(1F) 2번 출입구 근처",,
2,시민공원역,EL,5,2161-496,지하상가↔지하1층,"(B1) 화장실 옆,(M1) 화장실 옆",,
