dataCrtYmd,stdgCtpvSggCd,stdgEmdCd,roadNmNo,udgdYn,bmno,bsno,mvmnSn,ctpvNm,sggNm,umdNm,roadNm,chgBfrStdgCtpvSggCd,chgBfrStdgEmdCd,chgBfrRoadNmNo,chgBfrUdgdYn,chgBfrBmno,chgBfrBsno,chgBfrCtpvNm,chgBfrSggNm,chgBfrUmdNm,chgBfrRoadNm,chgRsnCd,updtSeCd,chgRsn
20210802,28260,110,4268317,0,33,1,1,인천광역시,서구,석남동,봉수대로300번길,28260,110,4268317,0,33,0,인천광역시,서구,석남동,봉수대로300번길,35,C,
20210802,28260,118,4268447,0,46,0,1,인천광역시,서구,금곡동,신동길,28260,118,4268447,0,42,0,인천광역시,서구,금곡동,신동길,34,U,소유자 신청
20210810,28710,350,3157002,0,861,0,1,인천광역시,강화군,양도면,강화남로,28710,350,4271125,0,113,38,인천광역시,강화군,양도면,건평로155번길,34,U,소유자 요청에 의한 변경
20210907,28110,148,4247115,0,42,3,1,인천광역시,중구,운북동,백운로500번길,28110,148,4247115,0,42,7,인천광역시,중구,운북동,백운로500번길,37,U,
20210907,28110,148,4247115,0,42,9,1,인천광역시,중구,운북동,백운로500번길,28110,148,4247115,0,42,17,인천광역시,중구,운북동,백운로500번길,37,U,건물번호 합병
20210907,28110,148,4247115,0,42,10,1,인천광역시,중구,운북동,백운로500번길,28110,148,4247115,0,42,12,인천광역시,중구,운북동,백운로500번길,37,U,
20210907,28110,148,4247115,0,42,10,2,인천광역시,중구,운북동,백운로500번길,28110,148,4247115,0,42,14,인천광역시,중구,운북동,백운로500번길,37,U,
20210907,28110,148,4247115,0,42,21,1,인천광역시,중구,운북동,백운로500번길,28110,148,4247115,0,42,25,인천광역시,중구,운북동,백운로500번길,37,U,
20210907,28110,148,4247115,0,42,43,1,인천광역시,중구,운북동,백운로500번길,28110,148,4247115,0,42,45,인천광역시,중구,운북동,백운로500번길,37,U,
20210907,28110,148,4247115,0,42,43,2,인천광역시,중구,운북동,백운로500번길,28110,148,4247115,0,42,47,인천광역시,중구,운북동,백운로500번길,37,U,
20210907,28110,148,4247115,0,42,61,1,인천광역시,중구,운북동,백운로500번길,28110,148,4247115,0,42,69,인천광역시,중구,운북동,백운로500번길,37,U,
20210907,28110,148,4247115,0,42,75,1,인천광역시,중구,운북동,백운로500번길,28110,148,4247115,0,42,77,인천광역시,중구,운북동,백운로500번길,37,U,
20210907,28110,148,4247115,0,42,75,2,인천광역시,중구,운북동,백운로500번길,28110,148,4247115,0,42,81,인천광역시,중구,운북동,백운로500번길,37,U,
20210916,28177,105,4253194,0,8,0,1,인천광역시,미추홀구,주안동,동주길10번길,28177,105,4253194,0,10,0,인천광역시,미추홀구,주안동,동주길10번길,34,U,전산착오
20210917,28720,360,3158017,0,117,69,1,인천광역시,옹진군,영흥면,선재로,28720,360,3158017,0,117,71,인천광역시,옹진군,영흥면,선재로,35,C,
20210923,28260,119,3353545,0,29,0,1,인천광역시,서구,오류동,금호로,28260,119,4268562,0,62,1,인천광역시,서구,오류동,원당대로117번길,34,U,소유자 신청
20211012,28260,101,3353352,0,8,0,1,인천광역시,서구,백석동,자원순환로,28260,101,2000013,0,1137,0,인천광역시,서구,백석동,봉수대로,34,U,소유자 신청
20211012,28260,101,3353352,0,170,0,1,인천광역시,서구,백석동,자원순환로,28260,101,3156011,0,61,0,인천광역시,서구,백석동,거월로,34,U,
20211012,28260,101,4860614,0,76,0,1,인천광역시,서구,백석동,야생화로,28260,101,3156011,0,61,6,인천광역시,서구,백석동,거월로,34,U,소유자 신청
20211012,28260,104,4268347,0,16,0,1,인천광역시,서구,경서동,사렴로44번길,28260,104,4268347,0,18,0,인천광역시,서구,경서동,사렴로44번길,34,U,분할
20211026,28260,104,4268347,0,18,0,1,인천광역시,서구,경서동,사렴로44번길,28260,104,4268347,0,16,0,인천광역시,서구,경서동,사렴로44번길,35,C,
20211026,28260,120,4268352,0,12,1,1,인천광역시,서구,왕길동,사월로37번길,28260,120,4268352,0,8,3,인천광역시,서구,왕길동,사월로37번길,35,C,
20211029,28260,120,4268352,0,8,5,1,인천광역시,서구,왕길동,사월로37번길,28260,120,4268352,0,8,3,인천광역시,서구,왕길동,사월로37번길,35,C,
